rM,rF,residual,alpha,alpha_imag,SAM,Put
0.625,0.625,8.249223526490823e-11,-0.012399199102468424,0.0,49.06131750801112,114.94359097499945
0.625,0.5,4.2814232159571475e-09,-0.01238637403485024,0.0,49.26591508696197,113.12159997082502
0.625,0.375,4.313530865829307e-09,-0.012373778881228249,0.0,49.46882538365664,111.32573625862061
0.625,0.25,4.3385952608332445e-09,-0.012361412509500989,0.0,49.669989126836036,109.55597121740772
0.625,0.125,4.356411675843219e-09,-0.012349273638954484,0.0,49.869349765491165,107.81225561511566
0.625,0.0,4.366769168484552e-09,-0.01233736084683571,0.0,50.066853546635315,106.09452008530953
0.75,0.0,1.0049575394077692e-08,-0.012411602153055066,0.0,48.25352861662333,107.34767212773649
0.75,0.125,1.0047440213156733e-08,-0.012425434995099478,0.0,48.03669265820637,109.36423880678551
0.75,0.25,2.2402035781965424e-10,-0.012439512889984822,0.0,47.818501036881024,111.406263267652
0.75,0.375,2.1678303596672777e-10,-0.012453836723052022,0.0,47.59902584142241,113.47371495877005
0.75,0.5,2.09179340515675e-10,-0.01246840721297239,0.0,47.37834095093125,115.56654193486028
0.75,0.625,2.01428207446952e-10,-0.012483224908027692,0.0,47.15652190133754,117.68467058269968
0.75,0.75,1.936699689508714e-10,-0.01249829018045014,0.0,46.93364574702019,119.82800558563324
0.75,0.875,1.8595436301893642e-10,-0.012513603221901896,0.0,46.709790918683424,121.99642988594078
0.75,1.0,1.7832491039371234e-10,-0.012529164038407432,0.0,46.48503707809324,124.18980467951505
0.875,1.0,5.854388973602909e-09,-0.012651548325280934,0.0,44.159783676854744,128.903841666762
0.875,0.875,3.255582470274021e-10,-0.012633127570316954,0.0,44.40120627210832,126.33236393208979
0.875,0.75,3.5005509602115126e-10,-0.012614972217922949,0.0,44.64255885919686,123.78312386469051
0.875,0.625,3.7628744564699446e-10,-0.012597083125421784,0.0,44.883759441662505,121.25630307466524
0.875,0.5,4.042970402906576e-10,-0.012579460923987432,0.0,45.124725860277,118.75205902441898
0.875,0.375,4.340776627032028e-10,-0.012562106026668001,0.0,45.365375921147034,116.27052457434894
0.875,0.25,4.6540415965523607e-10,-0.012545018628517417,0.0,45.60562752677151,113.81180750896593
0.875,0.125,4.97700103352372e-10,-0.012528198715130234,0.0,45.84539880977237,111.37599003987229
0.875,0.0,5.291056481837586e-10,-0.012511646065354957,0.0,46.08460826895684,108.96312828060681
1.0,0.0,1.4241891221900005e-08,-0.012652902713190452,0.0,43.44228136551308,111.12664274008715
1.0,0.125,1.88254034583224e-09,-0.012673539224668129,0.0,43.17652475020684,114.09023582329529
1.0,0.25,1.6710921535434409e-09,-0.012694466864751312,0.0,42.91146857012244,117.07027304999367
1.0,0.375,1.4813723581141858e-09,-0.012715685147203818,0.0,42.64717773864938,120.06695105441166
1.0,0.5,1.313717135076331e-09,-0.01273719328427731,0.0,42.38371692918476,123.08041146020936
1.0,0.625,1.1663301435760332e-09,-0.012758990184249927,0.0,42.121150438582426,126.11074459391185
1.0,0.75,1.036951857713575e-09,-0.012781074452123958,0.0,41.859542061299265,129.1579927361296
1.0,0.875,9.233112052697834e-10,-0.012803444386011584,0.0,41.598954973289274,132.22215298853806
1.0,1.0,8.233707049498662e-10,-0.012826097978366443,0.0,41.339451624772614,135.30317981543158
