policy,rho,MATII_Vmax_cap,G_Met,G_AA,alpha,residual,x_b_gly,x_b_glu,x_b_cys,x_b_gsg,x_b_gsh,x_c_thf,x_c_5mf,x_c_2cf,x_c_1cf,x_c_10f,x_c_dhf,x_aic,x_c_glu,x_c_cys,x_glc,x_c_gly,x_c_gsg,x_c_gsh,x_cyt,x_hcy,x_c_ser,x_sah,x_sam,x_met,x_c_coo,x_species_1,x_species_2,x_species_3,x_species_4,x_species_5,x_species_6,x_species_8,x_species_9,x_m_thf,x_m_2cf,x_m_1cf,x_m_10f,x_m_ser,x_m_gly,x_m_coo,x_src,x_dmg,x_parameter_1,x_parameter_2,x_parameter_3,x_parameter_4
constant-total,0.5,480.0,1.7702848206153918,1.3084767847340644,-0.012438474635912631,1.2571632623803453e-10,229.98872079850565,58.89612286086648,195.75540378196996,0.7081093162835175,13.085358921172642,4.73986945056024,4.353735936160113,0.5210126307044907,0.2851172643287131,3.460500400920145,0.03976431732685894,0.9421215478762658,3054.5115630136766,192.39650821575617,10.805660972263293,903.8784397300038,90.06743607447609,7749.850049438362,42.137726451987,1.197108028923666,552.0345278215291,21.191535869647677,94.19811650345017,25.25021428307249,12.945955037730089,0.01157425895960223,83.78273247311847,62.67898477276674,77.41468598934622,0.027723691010860797,0.874240195662256,39.04643669808592,160.45356330191436,21.073747934369933,1.6675874154036336,1.5501205054952256,15.908544144731215,2036.2780682382659,1999.0631566661727,55.41784536086668,8.900299883987202,0.6435322467455727,61.60773962857656,42.02810122863327,17.973931517076892,0.5834958927381177
constant-total,0.55,480.0,1.7803278060895462,1.3156760824350986,-0.012260053676038603,1.1666401178445085e-10,230.7921147847293,58.705058282641374,196.74407841490643,0.7338931730751415,13.115936325005409,4.787993892866527,4.285638970584724,0.5250109769611371,0.28687342499724416,3.4744007101313388,0.040082024459722074,0.9419529118744947,3035.792921040125,193.02512604966296,10.90986261123434,901.5570526565901,93.39980017162459,7877.238320437115,42.96171577391815,1.2108503573437783,550.4260437449843,21.71433060545522,96.98227601079881,23.277822655985304,12.887591673655322,0.011469147771218735,82.20048445489293,62.33609788688403,76.53005596159468,0.02731211443319311,0.8565538287343135,39.178781477212425,160.32121852278783,21.07976265168793,1.6674767478621826,1.5500401458870026,15.902720454562884,2026.2434001783856,1994.657874036383,55.24986572614543,8.92727407843593,0.638454312267767,60.43128252891658,41.65984615454315,17.56602943053299,0.5813555064672863
constant-total,0.6000000000000001,480.0,1.7940265387121999,1.3259700240680352,-0.012102941238706876,1.0722089882619912e-10,231.5555809149247,58.51097497294316,197.69489461055227,0.7599744267184249,13.143362685654745,4.830898590033578,4.224734591380265,0.5286300258772729,0.2884585747198808,3.48690845360509,0.04036976438447387,0.9418016484966458,3017.106849061237,193.50646779309093,11.011655973988287,899.2697679410887,96.77439924802175,7998.286468997248,43.743416191267514,1.2236114141614909,548.8938648954883,22.209328920468796,99.65596242525334,21.433842835868088,12.836375251769951,0.01134272254858794,80.62162920592039,61.92102013031425,75.55473449592562,0.02683690385770655,0.8370060392810618,39.326524552822605,160.17347544717765,21.08538324557322,1.6673411418862338,1.5499471215169804,15.897328491023575,2016.5519660944237,1990.3065131952962,55.10221962213617,8.94634774164437,0.6331406739840285,59.25643225836346,41.2427263878717,17.151904104901657,0.5789043805444712
constant-total,0.65,480.0,1.8114836855227539,1.3393986542682224,-0.011965170170888882,9.78772618509538e-11,232.28363378480313,58.31450944520907,198.61109239573128,0.7863302867572769,13.167904980899815,4.868588846010042,4.170999814875978,0.5318705847021444,0.289874367096242,3.4980388371377655,0.0406275501781899,0.9416674215876868,2998.4734414656227,193.83855636038942,11.111199213363316,897.0197679796202,100.18841285148306,8112.618897262507,44.481494012258054,1.2353543760149275,547.4394331878584,22.67242195542377,102.20146812913026,19.719486658171814,12.791935562353334,0.01119665603354226,79.04918579410244,61.438112058433575,74.49651740778127,0.026304189056155617,0.815822927387986,39.48840541355258,160.0115945864477,21.09061967548111,1.6671826199508624,1.549842525590533,15.892355178977501,2007.21331030463,1986.015692865565,54.97385189853846,8.957729320590742,0.6276255001959221,58.085569102201006,40.78038883986446,16.733110207486746,0.5761537836719821
constant-total,0.7000000000000001,480.0,1.8326446634013163,1.3558837825711836,-0.011844936885200868,8.906653192752856e-11,232.98043001621716,58.11622074637219,199.49577709345988,0.8129402065513921,13.189816495442905,4.9011493080095025,4.124304696283608,0.5347392190238879,0.29112481955053604,3.5078260984027163,0.04085585872993572,0.941549686004515,2979.908813624667,194.02169240147435,11.208655683799728,894.8089923276801,103.63929972320102,8219.963190924582,45.175420761151265,1.246062486543993,546.0628893889088,23.10038545713529,104.60460933311202,18.134006301498093,12.753874605709473,0.011032638316050582,77.48494147623309,60.89172215248011,73.36279177126379,0.025720071766059865,0.7932226403960672,39.663214465194706,159.83678553480553,21.09548228637934,1.6670035557294463,1.549727645554245,15.887786512336971,1998.230949306237,1981.7898736660961,54.8636316635508,8.961752355592944,0.6219443739553645,56.9201592992465,40.27635417712344,16.310866738878325,0.573113882311086
constant-total,0.75,480.0,1.8573109733830804,1.3752407409277534,-0.01174060865979339,8.100897730400902e-11,233.64972904052203,57.91659026190582,200.35188730378118,0.8397858835708243,13.209334682930814,4.928737355278877,4.08442167324685,0.5372477514325821,0.29221607629210944,3.5163215520538156,0.04105559169583946,0.9414477124057795,2961.4252586788557,194.05835567973315,11.304191057737823,892.6382161053095,107.12479917697935,8320.145249610832,45.82545385288271,1.255738670651534,544.763129144915,23.490991937345512,106.85520592741584,16.674800557070146,12.721772395356835,0.010852326060942167,75.92950571066022,60.28604874982596,72.16035228312076,0.025090457641882547,0.7694104191126545,39.84982303365391,159.65017696634638,21.09998239446734,1.6668065363599487,1.549603884753683,15.883607184419041,1989.6025353373388,1977.6314551611056,54.77036785791701,8.958853416313602,0.6161327177351271,55.76079291715666,39.73392030988457,15.886062997321455,0.5697932961937339
constant-total,0.8,480.0,1.8851696129148618,1.397201831217387,-0.011650723844356099,7.360512199738878e-11,234.2948781722373,57.71602470540003,201.1821714826207,0.8668511419011564,13.22667980409655,4.951573489621615,4.051038900665861,0.5394125411335928,0.29315608749670885,3.5235909625478743,0.04122801853436343,0.9413606188539934,2943.0315577769097,193.95299886623027,11.3979705236488,890.5071842154402,110.64291723038684,8413.08102378121,46.43257575365669,1.2644040625343953,543.5379202512053,23.843049693346835,108.94727748536097,15.337617208421236,12.695193816677317,0.010657294518128888,74.38238451632444,59.6250017754424,70.89523674446033,0.024420905709869135,0.7445745040370333,40.04721091164966,159.45278908835078,21.104132724112993,1.6665942298390493,1.5494726873788953,15.879800358669069,1981.320328228614,1973.5409764977696,54.69282786615953,8.949547199016466,0.6102244350582415,54.60723717343795,39.15607155597165,15.459270879102807,0.5661986095360453
constant-total,0.8500000000000001,480.0,1.9158332508949036,1.421447361495983,-0.01157398666857741,6.681233344352222e-11,234.91881709917595,57.51486160329643,201.9891719134188,0.8941217172417373,13.242054223764198,4.969929500852682,4.02377650777192,0.5412536045634536,0.29395422969231727,3.5297114506760443,0.041374706443570324,0.9412874069352042,2924.733408314083,193.71175472715964,11.490156095892809,888.4147845120434,114.19189999443162,8498.765771745731,46.998398622579835,1.2720956360694706,542.3840696034496,24.156369336536287,110.87895209071816,14.116831106052246,12.673696200206498,0.010448995427353749,72.84207163409462,58.91207310842035,69.57259067373988,0.023716504687392184,0.7188831313232018,40.25448964497623,159.24551035502432,21.107947638604763,1.666369268319035,1.5493354728641497,15.876347620212062,1973.3719232624248,1969.5173934649863,54.62975826794563,8.934400876452246,0.6042508580836974,53.458502723703575,38.54539913464911,15.030763192273414,0.5623338637057917
constant-total,0.9,480.0,1.9488843860166836,1.4476391712987842,-0.011509258142453672,6.042455424903892e-11,235.5240968005284,57.31337648837139,202.7752152839239,0.9215849733458846,13.255642266494663,4.984115464193327,4.002204336714275,0.5427936564726761,0.2946208998998156,3.5347681991125706,0.04149744360731679,0.9412269994687519,2906.5339251617806,193.34208820874093,11.580904130771255,886.3592406860099,117.77019798033119,8577.261903498602,47.52504558668905,1.2788632290185036,541.2976221031114,24.43166865879927,112.65212554402768,13.005768696689229,12.656837046706748,0.010228722966879053,71.30614885758115,58.15022210727679,68.1965660679162,0.02298178177167592,0.6924827102539868,40.470920500174266,159.02907949982637,21.111443157319254,1.6661341545489368,1.5491935837941484,15.873229104337662,1965.7411512897404,1965.5583993260966,54.579906173758545,8.914009691145665,0.5982400405515216,52.312917357163535,37.90403645255912,14.600536507359008,0.5582000486676993
constant-total,0.9500000000000001,480.0,1.9839170870794172,1.4754519163247193,-0.011455544336961462,1.7475798586019664e-09,236.11290822135766,57.11179099971068,203.54240932519403,0.9492295836676823,13.267610541165716,4.994466714772024,3.9858596156970836,0.5440571558416106,0.2951671177022624,3.538851233416296,0.041598162571400685,0.9411782767841491,2888.434166706563,192.85242931484288,11.670363173376726,884.3383062031043,121.37642564174266,8648.686485227068,48.01502173507909,1.2847662981342327,540.2740711036512,24.670433829931298,114.27193854815994,11.997046628567565,12.64418125986349,0.009997588605243376,69.77138508634204,57.3417792401194,66.77025346701855,0.02222064503764879,0.6654971290394455,40.69592698054291,158.80407301950908,21.114636793540395,1.6658911946498147,1.5490482489906916,15.870423762819142,1958.4090527040012,1961.660756458403,54.54203932917159,8.88897541110973,0.5922163874168164,51.16819939522938,37.23360981219059,14.168336166746986,0.5537945964175536
constant-total,1.0,480.0,2.0205717384428374,1.5045988032624322,-0.011411983147535361,1.566050400469976e-09,236.68711665368713,56.91028115581281,204.29264500545034,0.9770452114301964,13.27810864776414,5.001331829790481,3.974263185497906,0.5450694312935949,0.2956041651148063,3.5420525185000145,0.04167886980356012,0.9411401089724751,2870.433641261555,192.2518204723237,11.758672251368301,882.3494437608349,125.00932046303433,8713.199340178535,48.47108740361724,1.289870726042953,539.3085610813782,24.874757800947016,115.74615306889187,11.082894805626825,12.635307306666139,0.009756504387470333,68.23382257196262,56.48836670320608,65.29564102157815,0.021436356419082703,0.6380280156641014,40.929102657351066,158.57089734271491,21.117547272496044,1.66564245671071,1.5489005613173916,15.867909709475896,1951.3548307218875,1957.8206102960964,54.51496333031269,8.859888717580015,0.5862005753116282,50.021522235553505,36.53520231748516,13.733680603773426,0.5491108622844755
