m,q,n,rho0,n_saddles,status,A,a_SN_on,a_SN_off,Y_SN_on,Y_SN_off,rho_SN_on,rho_SN_off,SAM_SN_on,SAM_SN_off,E_met_on,E_self_crit,E_met_off,E_self_off,bistable_width
0.49999999999999994,3,3,0.05,2,two_positive_saddles,0.37151006009438436,2.88835229294991,3.1835308730620966,1.0605640149730893,0.6162949113721711,0.5439866370815726,0.18968026994029905,52.78017802895074,60.81579659497055,0.16401761209177448,0.8359823879082258,0.0847403142040583,0.9152596857960218,0.2951785801121867
0.52,3,3,0.05,2,two_positive_saddles,0.3713808019025023,2.870201767819943,3.1750797871758465,1.0659849241373396,0.615194833817498,0.5477781644520436,0.18885783856277794,52.691932642762026,60.83418025398457,0.1707614625207165,0.8292385374792839,0.08780857669393147,0.9121914233060685,0.30487801935590353
0.5399999999999999,3,3,0.05,2,two_positive_saddles,0.3712515886829694,2.8520135495528347,3.1666650735435766,1.0713932718819061,0.6141130722543262,0.5515362650882301,0.18805034261862297,52.60439448834559,60.85222971805758,0.1774991987792175,0.8225008012207822,0.09085770016400951,0.9091422998359981,0.3146515239907419
0.5599999999999999,3,3,0.05,2,two_positive_saddles,0.3711224204201388,2.8337897864642083,3.158286153768366,1.0767873911607622,0.6130489599819282,0.555259822226907,0.18725722999613706,52.517592078085784,60.86995736503708,0.1842274629532016,0.8157725370467983,0.09388809834305076,0.9061119016569418,0.32449636730415765
0.58,3,3,0.05,2,two_positive_saddles,0.37099329709836865,2.8155325101715576,3.1499424694472657,1.0821728332640954,0.6120018674152015,0.5589526950025536,0.1864779794965198,52.431435734820404,60.88737487867574,0.19094926715181382,0.8090507328481861,0.09690016720817918,0.9030998327917718,0.33440995927570816
0.5999999999999999,3,3,0.05,2,two_positive_saddles,0.37086421870202296,2.7972437504753564,3.141633481095906,1.087542682805625,0.6109711993099457,0.5626101895798475,0.18571209851780118,52.346035640973014,60.90449330069346,0.19765686728297577,0.8023431327170241,0.09989428610861714,0.9001057138913953,0.34438973062054945
0.6199999999999999,3,3,0.05,2,two_positive_saddles,0.3707351852154707,2.7789256087221563,3.133358667151505,1.0929010419365117,0.6099563922467719,0.5662351787132013,0.184959120954879,52.26132711657599,60.92132307797747,0.2043521655838726,0.7956478344161277,0.10287081879577675,0.8971291812042199,0.3544330584293487
0.6399999999999999,3,3,0.05,2,two_positive_saddles,0.3706061966230869,2.7605800447620203,3.1251175230471167,1.0982508422577228,0.608956912345685,0.5698296864895372,0.1842186052922137,52.17726272649954,60.937874105448635,0.21103613147606826,0.7889638685239317,0.10583011436956942,0.8941698856304306,0.3645374782850963
0.6599999999999999,3,3,0.05,2,two_positive_saddles,0.3704772529092515,2.742209082723222,3.1169095603507633,1.1035819690812245,0.6079722531851203,0.5733870177433962,0.18349013286737093,52.0940005836963,60.95415576508461,0.217698478391292,0.7823015216087865,0.10877250814898605,0.8912274918510262,0.37470047762754133
0.6799999999999999,3,3,0.05,2,two_positive_saddles,0.3703483540583501,2.723814751886688,3.108734305963681,1.1089038273044054,0.6070019339043135,0.5769135637503341,0.18277330628768607,52.01139297142268,60.97017696149897,0.2243459285880898,0.7756540714116814,0.1116983224746416,0.888301677525357,0.3849195540769932
0.7,3,3,0.05,2,two_positive_saddles,0.3702195000547736,2.7053989584840616,3.100591301372643,1.1142156452123333,0.6060454974695281,0.5804088783155823,0.18206774798379557,51.929450201189766,60.98594615444211,0.23097644537319556,0.7690235546268046,0.11460786744976761,0.8853921325502334,0.3951923428885813
0.72,3,3,0.05,2,two_positive_saddles,0.3700906908829186,2.6869637136286335,3.0924801019517383,1.1195086240353755,0.605102509087126,0.5838673122190375,0.1813730988858307,51.848306844561876,61.00147138854373,0.23758112817099966,0.7624188718290004,0.11750144162542103,0.8824985583745907,0.40551638832310477
0.74,3,3,0.05,2,two_positive_saddles,0.36996192652718685,2.6685109708504466,3.084400276309537,1.1247925461728097,0.6041725547488134,0.5872953996396575,0.18068901720999475,51.76781097158158,61.01676032057297,0.24416719271340873,0.755832807286591,0.12037933263515181,0.8796206673648478,0.4158893054590904
0.7599999999999999,3,3,0.05,2,two_positive_saddles,0.36983320697198574,2.650042590883601,3.076351405677864,1.1300649408597885,0.6032552398958864,0.5906916374550784,0.1800151773445189,51.68799791721313,61.031820244464114,0.25073133728156743,0.7492686627184327,0.12324181778372063,0.8767581822162801,0.42630881479426286
0.7799999999999999,3,3,0.05,2,two_positive_saddles,0.3697045322017278,2.631560552236265,3.0683330778459057,1.1353184985768365,0.602350629833489,0.5940514926417592,0.1793515925717963,51.608976583887454,61.04665082913875,0.25726618894889236,0.7427338110511078,0.1260884928273238,0.8739115071727126,0.43677252560964064
0.7999999999999999,3,3,0.05,2,two_positive_saddles,0.3695759022008313,2.6130667458046286,3.0603448913346822,1.1405625395926884,0.6014579398353698,0.5973810947604239,0.1786976538295453,51.53060400048729,61.06126564964153,0.2637786941651343,0.7362213058348657,0.12892025893728068,0.8710797410627185,0.44727814553005363
0.8199999999999998,3,3,0.05,2,two_positive_saddles,0.36944731695371974,2.594562982529425,3.0523864615497103,1.1457943733203013,0.6005768161052303,0.6006788655643645,0.1780530704099755,51.452917473315104,61.075671220603674,0.27026555967086097,0.7297344403291393,0.13173738179450853,0.8682626182054916,0.4578234790202851
0.8399999999999999,3,3,0.05,2,two_positive_saddles,0.36931877644482214,2.5760511932960695,3.044457414453484,1.1510063285192647,0.5997069301428084,0.6039401778874944,0.17741757163495203,51.37602841443506,61.08987360780453,0.27671934616365546,0.7232806538363444,0.13454010324199514,0.8654598967580139,0.4684062211574145
0.8599999999999999,3,3,0.05,2,two_positive_saddles,0.36919028065857284,2.5575332180891253,3.0365573861141404,1.1562081842032796,0.598847967664888,0.6071713507298604,0.17679089863446756,51.299789103550744,61.10387861198389,0.28314748802366113,0.716852511976339,0.1373286571422463,0.8626713428577518,0.47902416802501513
0.8799999999999999,3,3,0.05,2,two_positive_saddles,0.3690618295794116,2.5390108123784403,3.028686022282921,1.1613982724318643,0.5979996277778141,0.6103714981591144,0.17617280365705296,51.22422063925627,61.11769178433954,0.28954773939665307,0.7104522606033471,0.14010326976509022,0.8598967302349099,0.48967520990448055
0.8999999999999999,3,3,0.05,2,two_positive_saddles,0.3689334231917838,2.5204858423071657,3.020842977995617,1.1665661686709685,0.597161622210215,0.6135344310187095,0.17556304943044956,51.1494714172265,61.13131844089429,0.29591058963160655,0.7040894103679927,0.14286416015057007,0.8571358398494358,0.5003571356884513
0.9199999999999999,3,3,0.05,2,two_positive_saddles,0.3688050614801399,2.5019601105187927,3.0130279171963226,1.1717232992786053,0.5963336746008189,0.6166673793385996,0.17496140856825712,51.07537213752689,61.144763675828585,0.30224492385119295,0.6977550761488015,0.1456115404489637,0.8543884595510322,0.5110678066775298
0.94,3,3,0.05,2,two_positive_saddles,0.36867674442893605,2.4834353158890883,3.005240512381879,1.1768695111474856,0.5955155198365963,0.6197704149414438,0.17436766301857834,51.00192133993584,61.15803237386882,0.30854991969352835,0.6914500803064714,0.14834561623969786,0.8516543837603023,0.5218051964927906
0.96,3,3,0.05,2,two_positive_saddles,0.3685484720226337,2.4649132311484405,2.9974804442655794,1.1819917520156649,0.5947069034368833,0.6228359265363133,0.17378160355104239,50.92930092845666,61.17112922181222,0.31481415504233506,0.6851858449576652,0.1510665868307308,0.8489334131692724,0.5325672131171388
0.98,3,3,0.05,2,two_positive_saddles,0.3684202442456996,2.446395640988464,2.989747401458886,1.1871014836256817,0.5939075809797929,0.6258710472415289,0.17320302927910664,50.857344073288864,61.184058719258545,0.32104657092842226,0.6789534290715777,0.15377464553995032,0.846225354460043,0.5433517604704221
0.9999999999999998,3,3,0.05,2,two_positive_saddles,0.36829206108260615,2.427884186894727,2.9820410801698545,1.192199558651278,0.5931173175673802,0.6288764780871067,0.17263174721469188,50.78603449556604,61.19682518861457,0.32724731796926204,0.6727526820307381,0.15646997995989312,0.8435300200401061,0.5541568932751275
1.0199999999999998,3,3,0.05,2,two_positive_saddles,0.36816392251783087,2.409380531780919,2.9743611839172353,1.197276787118281,0.5923358873263661,0.6318470553603103,0.17206757185249108,50.715495764820965,61.20943278443146,0.3334084159729286,0.6665915840270712,0.15915277220697718,0.840847227793023,0.5649806521363163
1.0399999999999998,3,3,0.05,2,two_positive_saddles,0.368035828535857,2.390886436248977,2.9667074232591584,1.2023363941764642,0.5915630729417255,0.6347849627643873,0.17151032478168385,50.64567864244469,61.221885502125794,0.33953209465391665,0.6604679053460832,0.16182319915644242,0.8381768008435637,0.5758209870101814
1.0599999999999998,3,3,0.05,2,two_positive_saddles,0.36790777912117284,2.3724034957955236,2.9590795155355405,1.207383591176588,0.5907986652204107,0.6376934698511427,0.17095983432279538,50.57650609240388,61.23418718613536,0.3456221752236808,0.654377824776319,0.16448143266393744,0.8355185673360599,0.5866760197400169
1.0799999999999998,3,3,0.05,2,two_positive_saddles,0.3677797742582723,2.353933273832077,2.951477184623281,1.2124152036392004,0.5900424626829994,0.640570980145299,0.17041593518783918,50.50801661516403,61.24634153755154,0.3516757300316378,0.6483242699683627,0.1671276397747619,0.8328723602252387,0.5975439107912037
1.0999999999999999,3,3,0.05,2,two_positive_saddles,0.3676518139316546,2.3354774511706275,2.9439001604257,1.2174219753766637,0.58929436911804,0.6434125167126227,0.16987853847169754,50.440331070944936,61.258350548332785,0.3576850886217127,0.6423149113782871,0.16976182422861258,0.8302381757714258,0.6084227092550725
1.1199999999999999,3,3,0.05,2,two_positive_saddles,0.36752389812582453,2.317037613762734,2.936348171874632,1.2224155882260368,0.5885544342780904,0.646225011882394,0.1693476603570923,50.37328578751372,61.27021381815497,0.36365930245795136,0.6363406975420485,0.17238375868063474,0.8276162413193942,0.6193105581118981
1.14,3,3,0.05,2,two_positive_saddles,0.367396026825292,2.298615256727002,2.9288209576826305,1.227395843793598,0.587822145332585,0.6490085836689297,0.1688229140493189,50.30687842932279,61.281939978525315,0.3695979323150897,0.6304020676849105,0.1749941345186364,0.8250058654813625,0.6302057009556283
1.16,3,3,0.05,2,two_positive_saddles,0.3672682000145724,2.2802118974854144,2.921318265434089,1.2323526467689645,0.587097327899916,0.6517578872527398,0.16830415672054108,50.24123768060735,61.29353222911788,0.3754928688880425,0.6245071311119574,0.1775931018260592,0.8224068981739407,0.6411063679486744
1.18,3,3,0.05,2,two_positive_saddles,0.36714041767818667,2.261829143200586,2.913839848201964,1.2372900526654622,0.5863798136287974,0.6544755092466604,0.16779125053342758,50.17630431030915,61.304993657623065,0.3813471619451433,0.6186528380548562,0.18018080674857925,0.8198191932514239,0.6520107050013779
1.2,3,3,0.05,2,two_positive_saddles,0.36701267980066093,2.24346843654449,2.9063854643644356,1.242213374415275,0.5856694399177511,0.6571646523093132,0.1672840624079111,50.11200254730258,61.3163272449884,0.38716478901428125,0.6128352109857186,0.18275739164556817,0.8172426083544275,0.6629170278199457
