rho_program,s,mu,b_met,SAM,met,tlogmu,resid,gain_dlnSAM_dlnmu,alpha_real,alpha_imag,small_noncons_real,small_noncons_imag
0.0,18.60951428819225,2.1349152294769453,64.04745688430836,6379.777619349285,22.806473175512007,0.0005015018229814,5.182160470776577e-12,143.67640156553924,-0.000186494055428,0.0,-0.000186494055428,0.0
0.0,19.109515219479217,2.135433866550932,64.06301599652795,6609.975047743341,22.804483506403145,0.0004705980733922,1.6364717276136558e-11,148.03560635462483,-0.0001749450632223,0.0,-0.0001749450632223,0.0
0.0,19.60951603341692,2.135921149094739,64.07763447284216,6840.546013443293,22.80276738146204,0.0004424881827196,7.318590178329032e-12,152.37685209144652,-0.0001644473098019,0.0,-0.0001644473098019,0.0
0.0,20.109516747644488,2.1363798578414586,64.09139573524375,7071.46346556085,22.801286336220382,0.0004168402583947,5.727651046647795e-12,156.70268187503683,-0.0001548748761474,0.0,-0.0001548748761474,0.0
0.0,20.609517376751548,2.1368124499862504,64.10437349958751,7302.70297421528,22.800008024144176,0.0003933720147418,1.988528955663464e-12,161.0149055761705,-0.0001461208272087,0.0,-0.0001461208272087,0.0
0.0,21.10951793286978,2.137221106383518,64.11663319150553,7534.242415892473,22.79890511783674,0.0003718415530654,6.818632198390232e-12,165.31483067702865,-0.0001380936570251,0.0,-0.0001380936570251,0.0
0.0,21.609518426138013,2.137607770217097,64.12823310651292,7766.061703378034,22.7979544300702,0.0003520402542161,4.693496056219535e-12,169.60342247917248,-0.0001307145563996,0.0,-0.0001307145563996,0.0
0.0,22.10951886507016,2.137974179040622,64.13922537121866,7998.14255305193,22.79713620635439,0.0003337872036496,9.093648608925347e-12,173.88141425572206,-0.0001239152665602,0.0,-0.0001239152665602,0.0
0.0,22.60951925684821,2.1383218915773696,64.14965674732109,8230.468283634924,22.7964335522423,0.0003169247510325,3.272943455227312e-12,178.14938234516603,-0.0001176363750062,0.0,-0.0001176363750062,0.0
0.0,23.109519607556848,2.138652310317517,64.15956930952551,8463.0236415216,22.79583196713813,0.0003013149262228,2.302158463862725e-12,182.40779693004475,-0.0001118259413087,0.0,-0.0001118259413087,0.0
0.0,23.609519922372364,2.1389667007030466,64.1690010210914,8695.794648676327,22.79531896280513,0.0002868365132524,3.000198167291702e-12,186.6570561059821,-0.0001064383778017,0.0,-0.0001064383778017,0.0
0.0,24.1095202057156,2.139266207512277,64.1779862253683,8928.76846975046,22.79488374962561,0.0002733826382338,9.680335615952793e-12,190.8975085664324,-0.0001014335272603,0.0,-0.0001014335272603,0.0
0.0,24.609520461376366,2.139551868925377,64.1865560677613,9161.933295633184,22.79451697735952,0.0002608587642319,1.3200457658117444e-11,195.1294685837104,-9.677589860150392e-05,0.0,-9.677589860150392e-05,0.0
0.0,25.109520692615195,2.139824628654548,64.19473885963643,9395.278241101696,22.7942105199719,0.0002491810126015,3.813465545678373e-12,199.35322582846413,-9.243402543918222e-05,0.0,-9.243402543918222e-05,0.0
0.0,25.609520902246864,2.1400853464482603,64.20256039344781,9628.793254608585,22.79395729627634,0.0002382747489275,1.2613770651090002e-11,203.5690517567633,-8.837993066682361e-05,0.0,-8.837993066682361e-05,0.0
0.0,26.10952109270933,2.140334807221603,64.21004421664809,9862.469038550564,22.79375111982573,0.0002280733854335,1.8189894035458565e-12,207.77720373005192,-8.458867010976525e-05,0.0,-8.458867010976525e-05,0.0
0.0,26.609521266120804,2.140573729019755,64.21721187059265,10096.296978616616,22.79358657279652,0.0002185173616244,4.433786671143025e-12,211.97792766192308,-8.103794552660182e-05,0.0,-8.103794552660182e-05,0.0
0.0,27.10952142432728,2.140802769985954,64.22408309957862,10330.26908102452,22.79345889964127,0.0002095532735275,7.830180948076304e-12,216.1714597027656,-7.770777413161124e-05,0.0,-7.770777413161124e-05,0.0
0.0,27.609521568942107,2.141022534476673,64.23067603430019,10564.37791663025,22.793363917096475,0.0002011331258441,6.7469005808155815e-12,220.35802732419648,-7.458020977317402e-05,0.0,-7.458020977317402e-05,0.0
