rM,rF,rH,residual,alpha,alpha_imag,SAM,Put,Spd,Spm
0.75,0.5,1.0,1.0529137561832158e-08,-0.012468407212962431,0.0,47.3783409508897,115.56654196938881,81.61866049066379,60.058669250108466
0.75,0.5,0.75,4.959863986186974e-08,-0.012804120035565877,0.0,48.28106847570894,114.37352178058998,81.49547867489036,60.13963640868078
0.75,0.5,0.5,7.722652384245521e-08,-0.013523291043629829,0.0,49.17042375863518,113.240802146958,81.37656546688694,60.21756102026601
0.75,0.5,0.25,1.1194014604143376e-07,-0.01471749731617,0.0,50.03835968674837,112.17400051095396,81.26278509032062,60.29190403419497
0.75,0.5,0.0,1.550420449802914e-07,-0.016507283735058238,0.0,50.87585877296117,111.1789566067087,81.1550582456985,60.36209502129291
0.75,0.25,0.0,2.2917445718917406e-09,-0.016483748103218763,0.0,51.22437012235769,108.10443914909678,78.8313686975776,59.06934521408055
0.75,0.25,0.25,5.926063124661596e-07,-0.014693557088756297,0.0,50.408727266718024,108.85511107989853,78.7796110494282,58.91242306400216
0.75,0.25,0.5,3.640219432554659e-07,-0.013498821446504692,0.0,49.56353599240404,109.65866339433971,78.7250282369781,58.74678543024247
0.75,0.25,0.75,2.0434642067357345e-07,-0.012778196009878954,0.0,48.69753480034323,110.51050835246002,78.66807137644918,58.573776860017105
0.75,0.25,1.0,1.2603293697566187e-07,-0.012439512890221743,0.0,47.81850103686669,111.40626326691769,78.60916126685531,58.39465335123827
0.75,0.0,1.0,1.1950241685099172e-08,-0.012411602153103236,0.0,48.25352861657576,107.34767216824095,75.65772504898412,56.75039902932844
0.75,0.0,0.75,4.87277418415033e-08,-0.012753131329557448,0.0,49.10819770913275,106.74659780600953,75.90003287113672,57.029896019303294
0.75,0.0,0.5,7.483881603320697e-08,-0.013475126612392772,0.0,49.95033606226474,106.17256528308653,76.13344606062046,57.2996763754942
0.75,0.0,0.25,1.0844054543213133e-07,-0.014670336553119235,0.0,50.7724192788804,105.62885756120681,76.35636077215842,57.55782047393782
0.75,0.0,0.0,1.5206290271407852e-07,-0.016460887785274814,0.0,51.565969133604845,105.11894169834004,76.56706172924845,57.80226808660041
1.0,0.0,0.0,8.245251592597924e-08,-0.0169349810600476,0.0,43.77999753888625,110.83703809003639,74.29203805817995,55.185832388831834
1.0,0.0,0.25,6.104559844288815e-07,-0.015071383251023154,0.0,43.78325047058103,110.83426812306284,74.29309532104034,55.18703658120015
1.0,0.0,0.5,3.9851287425562987e-07,-0.01380790586345073,0.0,43.72388097650489,110.884881375478,74.27378341079032,55.16504258142544
1.0,0.0,0.75,2.4550328703298874e-07,-0.01303242169825515,0.0,43.60828059758811,110.98378780317927,74.23608482586836,55.12211878396296
1.0,0.0,1.0,1.4234591816375541e-07,-0.012652902713225358,0.0,43.44228136560069,111.12664274010186,74.1817282773365,55.06025251346413
1.0,0.25,1.0,1.2445056807308674e-07,-0.012694466864568784,0.0,42.91146856987781,117.07027348876288,78.25848496253087,57.324380145654956
1.0,0.25,0.75,5.244725542752349e-08,-0.013072201339342832,0.0,43.08579880760126,116.84728205167333,78.27161749468728,57.36459001518186
1.0,0.25,0.5,8.343361912466207e-08,-0.013847489281293597,0.0,43.20873789657186,116.6910929617778,78.28084743390026,57.39284379832634
1.0,0.25,0.25,1.2517983805082622e-07,-0.015111672409433312,0.0,43.274365885258455,116.60807324479998,78.28576400813307,57.40789186827111
1.0,0.25,0.0,1.801819919933223e-07,-0.016975697047083037,0.0,43.27621452675049,116.60573829701194,78.2859023939974,57.40831540265419
1.0,0.5,0.0,8.42589988891973e-08,-0.017016896480774393,0.0,42.7754561119841,122.42803963611918,82.28864384666554,59.61393176226875
1.0,0.5,0.25,6.092988726891235e-07,-0.015152645736209638,0.0,42.76831441148363,122.43982626235352,82.28974127923476,59.613197277520044
