name,r,rM,rF,rH,MAT_total,SAM,Put,Spd,Spm,alpha,residual
original_full_65p06,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,388.99999999999994,57.218418459134824,103.77850354292666,79.67393645240101,60.426124679784294,-0.013854858389503689,7.337774832194555e-09
original_full_65p06,0.4,0.4,0.4,0.4,376.0,56.08650371022015,105.0264564731845,79.96843381923358,60.44238019903446,-0.013658471811423116,9.645475529396208e-09
original_full_65p06,0.45,0.45,0.45,0.45,363.0,54.947234281983214,106.41261359899885,80.34092408136925,60.49866436712244,-0.013482525177794222,1.2569586260724464e-08
original_full_65p06,0.5,0.5,0.5,0.5,350.0,53.79902281569416,107.94763416611775,80.79414488437249,60.595856501130115,-0.013326400161371585,1.6327973639818083e-08
original_full_65p06,0.55,0.55,0.55,0.55,337.0,52.64018750883225,109.64344517811163,81.33099816596378,60.73483965857274,-0.013189605063063381,2.1187503307373845e-08
original_full_65p06,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,324.0,51.468914875739934,111.51351536579686,81.95458831108044,60.91650819797032,-0.013071784605068136,2.752464922650688e-08
original_full_65p06,0.65,0.65,0.65,0.65,311.0,50.28321372588886,113.57321198476446,82.66827512979496,61.141780232042564,-0.01297273082313875,3.587696539852914e-08
original_full_65p06,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,298.0,49.08085776267899,115.84026973376889,83.47574629966066,61.41161629353272,-0.012892395842047634,4.6958604116298375e-08
original_full_65p06,0.75,0.75,0.75,0.75,285.0,47.859313337045954,118.33541330479785,84.38111550350906,61.727045907864934,-0.012830907555602252,6.182150968925271e-08
original_full_65p06,0.8,0.8,0.8,0.8,272.0,46.615647651671146,121.08319341945521,85.389054779437,62.08920430166931,-0.012788589586824948,8.192668587980734e-08
original_full_65p06,0.8500000000000001,0.8500000000000001,0.8500000000000001,0.8500000000000001,259.0,45.34641091912418,124.11312431764031,86.50497295311425,62.49938225703416,-0.012765987462111841,1.0933985095107346e-07
original_full_65p06,0.9,0.9,0.9,0.9,246.0,44.04748334344201,127.4612547047639,87.7352570330547,62.959093279623126,-0.012763903808814887,1.0920189197349828e-09
original_full_65p06,0.9500000000000001,0.9500000000000001,0.9500000000000001,0.9500000000000001,233.0,42.71387386117427,131.17237495110996,89.08760115995467,63.47016401923523,-0.012783446760244493,1.5400303254864411e-09
original_full_65p06,1.0,1.0,1.0,1.0,220.0,41.33945162481948,135.30317981106472,90.57145950465717,64.0348565303382,-0.0128260979784209,2.088881956296973e-09
original_full_66p5,0.0,0.0,0.0,0.0,480.0,65.06138248397946,98.20362967232711,79.59175253092295,61.35951148733721,-0.015875918996514093,1.2320427147782235e-11
original_full_66p5,0.05,0.05,0.05,0.05,467.0,63.93097987130436,98.75904414939895,79.44748005131527,61.14281520970887,-0.01551089995402748,1.5171011114034627e-09
original_full_66p5,0.1,0.1,0.1,0.1,454.0,62.803776072606965,99.40297756242819,79.36673070919942,60.96089154434968,-0.015173346622622572,1.3952217159385327e-09
original_full_66p5,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002,441.0,61.678232126282154,100.14122640629067,79.35143677479293,60.81453128268412,-0.014862049856762698,1.838017738009512e-09
original_full_66p5,0.2,0.2,0.2,0.2,428.0,60.552854012898365,100.9800353714219,79.4036192355113,60.704538545600876,-0.01457584692917526,2.84738632672088e-09
original_full_66p5,0.25,0.25,0.25,0.25,415.0,59.42617972605302,101.92615204716046,79.52538629817455,60.6317249466672,-0.014313636793423849,4.0817837998474715e-09
original_full_66p5,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,402.0,58.29676516962861,102.98689422735298,79.71893389496147,60.596904409215085,-0.014074393821621706,5.595467200691928e-09
original_full_66p5,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,388.99999999999994,57.1631683394368,104.1702335240026,79.98654899803773,60.6008889692579,-0.013857180039892055,7.49432160773722e-09
original_full_66p5,0.4,0.4,0.4,0.4,376.0,56.02393114360753,105.48490014212133,80.33061676586927,60.6444859651571,-0.013661156081590202,9.879670415102737e-09
original_full_66p5,0.45,0.45,0.45,0.45,363.0,54.8775580795566,106.94051521417163,80.75363281774776,60.7284970945012,-0.013485591188895169,1.2906468782603042e-08
original_full_66p5,0.5,0.5,0.5,0.5,350.0,53.72249080455845,108.54775919968684,81.25822228179776,60.85371991288034,-0.013329872667548719,1.679160277490155e-08
original_full_66p5,0.55,0.55,0.55,0.55,337.0,52.557077395465505,110.31858776855181,81.84716771500898,61.02095246472686,-0.013193515263454903,2.1822813778271666e-08
original_full_66p5,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,324.0,51.37953476694981,112.26651067229784,82.52344859534145,61.23100188344499,-0.013076171002550152,2.8375097826938145e-08
original_full_66p5,0.65,0.65,0.65,0.65,311.0,50.187902271457446,114.40695492880941,83.29029590139906,61.484697992499896,-0.012977640133691883,3.700422723795782e-08
original_full_66p5,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,298.0,48.97998388531824,116.75774207730518,84.15126642426947,61.782913205083915,-0.01289788396794178,4.8455632395416615e-08
original_full_66p5,0.75,0.75,0.75,0.75,285.0,47.753275515190836,119.3397216902559,85.11034305190776,62.12659039409769,-0.012837040636999423,6.379849537552218e-08
original_full_66p5,0.8,0.8,0.8,0.8,272.0,46.504872717177136,122.1776220029662,86.17206956685595,62.516780942565205,-0.012795445155819223,8.451141297882714e-08
original_full_66p5,0.8500000000000001,0.8500000000000001,0.8500000000000001,0.8500000000000001,259.0,45.23135232252649,125.30120715542229,87.34173187893997,62.954695973922426,-0.012773655744696013,1.1271848165961273e-07
original_full_66p5,0.9,0.9,0.9,0.9,246.0,43.92861882034186,128.74687542177207,88.62560267094896,63.4417749348614,-0.01277248924323821,1.1793019893957535e-09
original_full_66p5,0.9500000000000001,0.9500000000000001,0.9500000000000001,0.9500000000000001,233.0,42.5917023988658,132.55990498468196,90.03127423010235,63.97977750066233,-0.01279306984499333,1.666080606810283e-09
original_full_66p5,1.0,1.0,1.0,1.0,220.0,41.2144895715602,136.79767260348484,91.56811614675208,64.57090745560687,-0.012836897635938677,2.2575363800569903e-09
MAT_feedback_Hfixed0,0.0,0.0,0.0,0.0,480.0,65.06138248397946,98.20362967232711,79.59175253092295,61.35951148733721,-0.015875918996514093,1.2320427147782235e-11
MAT_feedback_Hfixed0,0.05,0.05,0.05,0.0,467.0,64.43236547873815,98.48594416048378,79.48872869354268,61.225930737735546,-0.0158991123330681,1.3983481039758772e-11
MAT_feedback_Hfixed0,0.1,0.1,0.1,0.0,454.0,63.76803952639941,98.82969517687108,79.41606277128717,61.105115475871806,-0.01592400956316088,2.984279490192421e-11
MAT_feedback_Hfixed0,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.0,441.0,63.06603806347223,99.24213508603023,79.37722458771427,60.998618608783396,-0.01595078350111457,3.764455414057011e-11
MAT_feedback_Hfixed0,0.2,0.2,0.2,0.0,428.0,62.32380644379342,99.73151940895943,79.37607686884662,60.90815564040339,-0.015979630280838163,5.012168458051747e-11
MAT_feedback_Hfixed0,0.25,0.25,0.25,0.0,415.0,61.53858457766699,100.3072773972111,79.41692355242533,60.83562069668385,-0.016010773367868204,3.7843506106582936e-11
MAT_feedback_Hfixed0,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.0,402.0,60.70738760674908,100.9802188809357,79.50456481787911,60.783103898502326,-0.01604446842469881,4.931166586175095e-11
MAT_feedback_Hfixed0,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.0,388.99999999999994,59.8269843045399,101.76278706735553,79.64436001633,60.75291016822963,-0.016081009248311802,8.765255188336596e-11
MAT_feedback_Hfixed0,0.4,0.4,0.4,0.0,376.0,58.89387282586879,102.66937013736346,79.842299974307,60.74757957216461,-0.016120735064979387,1.37532651933725e-10
MAT_feedback_Hfixed0,0.45,0.45,0.45,0.0,363.0,57.9042533484487,103.71668889127761,80.10509053686832,60.769909328952394,-0.01616403955602796,2.1466917132784147e-10
MAT_feedback_Hfixed0,0.5,0.5,0.5,0.0,350.0,56.85399705588345,104.92428388132203,80.44024974136244,60.82297765898777,-0.016211382111436537,3.483648924884619e-10
MAT_feedback_Hfixed0,0.55,0.55,0.55,0.0,337.0,55.73861080759846,106.31513426720261,80.85622172015916,60.91016971825539,-0.016263301972152776,5.79959191782109e-10
MAT_feedback_Hfixed0,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.0,324.0,54.55319673709391,107.91645330817961,81.36251138323202,61.035205959417276,-0.016320436156882952,9.56816847974551e-10
MAT_feedback_Hfixed0,0.65,0.65,0.65,0.0,311.0,53.29240593865355,109.76072392099151,81.96984521224594,61.20217340002204,-0.01638354238819685,8.20136847323738e-10
