tau,k,a,Y,rho,dom_real,dom_imag,npos
24.0,32,2.909708151067691,1.47572372121227,0.7626829826580005,-0.012958519057723127,0.0006139219309087739,0
24.0,33,2.9648483835742443,1.5335668772259945,0.7829241423072283,-0.01301059866054331,0.0,0
24.0,34,3.0281415197188606,1.5942883684369122,0.8020699944498721,-0.012891268725878664,0.0,0
24.0,35,3.099913347580997,1.6580483761794294,0.8200850331780569,-0.012845980524599308,0.0,0
24.0,36,3.1804693898914445,1.7249942013978905,0.8369450377545088,-0.012820419709771129,0.0,0
24.0,37,3.270085532395668,1.795258068054652,0.8526384294665387,-0.012804252720970058,0.0,0
24.0,38,3.369001502247352,1.8689565352432629,0.8671672236308753,-0.012793769169907156,0.0,0
24.0,39,3.477418304798532,1.946191724408819,0.8805473352152741,-0.012787148925335806,0.0,0
24.0,40,3.595500064218718,2.0270542507138805,0.892808091901344,-0.012783303570290765,0.0,0
48.0,0,2.3,0.4506841587475154,0.0838642222014523,-0.01035399064225647,0.0,0
48.0,1,2.4,0.4573664620023649,0.0873195875760366,-0.009692479569722384,0.0,0
48.0,2,2.478759484216772,0.4631904005224319,0.0903925540060058,-0.009135155946295324,0.0,0
48.0,3,2.570437535776777,0.4707532177939157,0.094467797728289,-0.008437638513749119,0.0,0
48.0,4,2.67605291157263,0.4808406484677544,0.1000509974133077,-0.007552037861516806,0.0,0
48.0,5,2.794639023965384,0.4947334096491115,0.1080121603129154,-0.006412448485816368,0.0,0
48.0,6,2.9172127777964008,0.5140391216840735,0.1195848167034976,-0.004973224480542005,0.0,0
48.0,7,3.0157683552111982,0.5376091332967421,0.1344851785715214,-0.0034249447170771117,0.0,0
48.0,8,3.079129696723476,0.564764040508668,0.1526402119531757,-0.0018976088454945661,0.0,0
48.0,9,3.106251404277704,0.5939667206777327,0.173245810839482,-0.000528099245762353,0.0,0
48.0,10,3.105148265204569,0.6240088078104132,0.1954824167402362,0.0006190762980057847,0.0,1
48.0,11,3.08534205494698,0.6543660320119069,0.2188697327218521,0.001539588957359769,0.0,1
48.0,12,3.0542556974244777,0.6849129728487056,0.2431676780218256,0.0022513972773307157,0.0,1
48.0,13,3.017021738645568,0.7156838053504764,0.2682439301984014,0.0027759494865178536,0.0,1
48.0,14,2.977105643961941,0.746765217530688,0.2940045952627441,0.003132607373040903,0.0,1
48.0,15,2.9368658628402224,0.7782566955873078,0.3203646341360784,0.0033377962782776428,0.0,1
48.0,16,2.8979350790628526,0.8102575493065834,0.3472363698643621,0.00340542639193564,0.0,1
48.0,17,2.861464884057294,0.8428638317362448,0.3745257538428859,0.003347510648461453,0.0,1
48.0,18,2.8282828028273315,0.8761687866014105,0.4021320041730467,0.003174697964538348,0.0,1
48.0,19,2.798995153444369,0.9102644737431947,0.4299487450742069,0.0028966750727020024,0.0,1
48.0,20,2.774056355602071,0.9452437160866966,0.457865797973457,0.0025224521876485917,0.0,1
48.0,21,2.7538171231902875,0.9812020583743508,0.4857711912778249,0.002060559106124349,0.0,1
48.0,22,2.738559080141325,1.0182396189278564,0.513553133509847,0.0015191763760906956,0.0,1
48.0,23,2.728520417267978,1.0564627728287188,0.5411017829091483,0.0009062221152517335,0.0,1
48.0,24,2.723915431021109,1.0959856129392316,0.5683107061313902,0.000229410628005565,0.0,1
48.0,25,2.724949675187028,1.1369311267174813,0.5950779714884715,-0.0005037059361309234,0.0,0
48.0,26,2.731831743814541,1.1794320139934418,0.6213068734889708,-0.0012857026916151797,0.0,0
48.0,27,2.74478223457972,1.2236310583756065,0.6469063334221108,-0.0021092516476748095,0.0,0
48.0,28,2.7640401284262643,1.2696809556776292,0.6717910615304721,-0.002967092462517201,0.0,0
48.0,29,2.789866615480831,1.3177435009905558,0.6958815963751199,-0.0038520082249719084,0.0,0
48.0,30,2.822546278652215,1.3679880488296836,0.7191043535376372,-0.004756811888152291,0.0,0
48.0,31,2.862385515562151,1.4205891977062317,0.7413918163141007,-0.005674354044390816,0.0,0
48.0,32,2.909708151067691,1.47572372121227,0.7626829826580005,-0.00659756778211331,0.0,0
48.0,33,2.9648483835742443,1.5335668772259945,0.7829241423072283,-0.0075195768724738935,0.0,0
48.0,34,3.0281415197188606,1.5942883684369122,0.8020699944498721,-0.008433920058819353,0.0,0
48.0,35,3.099913347580997,1.6580483761794294,0.8200850331780569,-0.009335034704516298,0.0,0
48.0,36,3.1804693898914445,1.7249942013978905,0.8369450377545088,-0.01021952979454086,0.0,0
48.0,37,3.270085532395668,1.795258068054652,0.8526384294665387,-0.011091162105681465,0.0,0
48.0,38,3.369001502247352,1.8689565352432629,0.8671672236308753,-0.012011346753557424,0.0,0
48.0,39,3.477418304798532,1.946191724408819,0.8805473352152741,-0.012659741768857154,0.00037827557322862865,0
48.0,40,3.595500064218718,2.0270542507138805,0.892808091901344,-0.013022889325195453,0.0002700929303520943,0
72.0,0,2.3,0.4506841587475154,0.0838642222014523,-0.006925443640823381,0.0,0
72.0,1,2.4,0.4573664620023649,0.0873195875760366,-0.006480763313705506,0.0,0
72.0,2,2.478759484216772,0.4631904005224319,0.0903925540060058,-0.006106744731967767,0.0,0
72.0,3,2.570437535776777,0.4707532177939157,0.094467797728289,-0.005639213363415363,0.0,0
72.0,4,2.67605291157263,0.4808406484677544,0.1000509974133077,-0.0050462599824630154,0.0,0
72.0,5,2.794639023965384,0.4947334096491115,0.1080121603129154,-0.004283957568302239,0.0,0
72.0,6,2.9172127777964008,0.5140391216840735,0.1195848167034976,-0.003321927542307457,0.0,0
72.0,7,3.0157683552111982,0.5376091332967421,0.1344851785715214,-0.0022875060821968326,0.0,0
72.0,8,3.079129696723476,0.564764040508668,0.1526402119531757,-0.0012673444562155867,0.0,0
72.0,9,3.106251404277704,0.5939667206777327,0.173245810839482,-0.0003526950037412116,0.0,0
72.0,10,3.105148265204569,0.6240088078104132,0.1954824167402362,0.0004134598897881402,0.0,1
72.0,11,3.08534205494698,0.6543660320119069,0.2188697327218521,0.0010282624659182437,0.0,1
72.0,12,3.0542556974244777,0.6849129728487056,0.2431676780218256,0.001503704663616073,0.0,1
72.0,13,3.017021738645568,0.7156838053504764,0.2682439301984014,0.0018540964542488483,0.0,1
72.0,14,2.977105643961941,0.746765217530688,0.2940045952627441,0.002092352354102077,0.0,1
72.0,15,2.9368658628402224,0.7782566955873078,0.3203646341360784,0.0022294283932254274,0.0,1
72.0,16,2.8979350790628526,0.8102575493065834,0.3472363698643621,0.002274605412387283,0.0,1
72.0,17,2.861464884057294,0.8428638317362448,0.3745257538428859,0.002235902576371266,0.0,1
72.0,18,2.8282828028273315,0.8761687866014105,0.4021320041730467,0.002120433709765404,0.0,1
72.0,19,2.798995153444369,0.9102644737431947,0.4299487450742069,0.001934675532942428,0.0,1
72.0,20,2.774056355602071,0.9452437160866966,0.457865797973457,0.001684658164692617,0.0,1
72.0,21,2.7538171231902875,0.9812020583743508,0.4857711912778249,0.0013760955151862215,0.0,1
72.0,22,2.738559080141325,1.0182396189278564,0.513553133509847,0.0010144725175677168,0.0,1
72.0,23,2.728520417267978,1.0564627728287188,0.5411017829091483,0.0006051025615126936,0.0,1
72.0,24,2.723915431021109,1.0959856129392316,0.5683107061313902,0.00015316638306779834,0.0,1
72.0,25,2.724949675187028,1.1369311267174813,0.5950779714884715,-0.00033626008454181724,0.0,0
72.0,26,2.731831743814541,1.1794320139934418,0.6213068734889708,-0.0008581819528817538,0.0,0
72.0,27,2.74478223457972,1.2236310583756065,0.6469063334221108,-0.0014076639729047073,0.0,0
72.0,28,2.7640401284262643,1.2696809556776292,0.6717910615304721,-0.0019798089660008223,0.0,0
72.0,29,2.789866615480831,1.3177435009905558,0.6958815963751199,-0.0025697378125058004,0.0,0
72.0,30,2.822546278652215,1.3679880488296836,0.7191043535376372,-0.0031725739017087326,0.0,0
72.0,31,2.862385515562151,1.4205891977062317,0.7413918163141007,-0.003783436702081258,0.0,0
72.0,32,2.909708151067691,1.47572372121227,0.7626829826580005,-0.0043974498295832895,0.0,0
72.0,33,2.9648483835742443,1.5335668772259945,0.7829241423072283,-0.005009769365140603,0.0,0
72.0,34,3.0281415197188606,1.5942883684369122,0.8020699944498721,-0.005615636459018228,0.0,0
72.0,35,3.099913347580997,1.6580483761794294,0.8200850331780569,-0.006210455528935951,0.0,0
72.0,36,3.1804693898914445,1.7249942013978905,0.8369450377545088,-0.006789894706247696,0.0,0
72.0,37,3.270085532395668,1.795258068054652,0.8526384294665387,-0.007350000079426594,0.0,0
72.0,38,3.369001502247352,1.8689565352432629,0.8671672236308753,-0.007887310599333171,0.0,0
72.0,39,3.477418304798532,1.946191724408819,0.8805473352152741,-0.008398958213413842,0.0,0
72.0,40,3.595500064218718,2.0270542507138805,0.892808091901344,-0.008882738881018228,0.0,0
96.0,0,2.3,0.4506841587475154,0.0838642222014523,-0.005199023295020458,0.0,0
96.0,1,2.4,0.4573664620023649,0.0873195875760366,-0.004865077925922644,0.0,0
96.0,2,2.478759484216772,0.4631904005224319,0.0903925540060058,-0.004584225581179844,0.0,0
96.0,3,2.570437535776777,0.4707532177939157,0.094467797728289,-0.004233183280705601,0.0,0
96.0,4,2.67605291157263,0.4808406484677544,0.1000509974133077,-0.0037880064808834216,0.0,0
96.0,5,2.794639023965384,0.4947334096491115,0.1080121603129154,-0.003215732406763871,0.0,0
96.0,6,2.9172127777964008,0.5140391216840735,0.1195848167034976,-0.0024935686702943724,0.0,0
96.0,7,3.0157683552111982,0.5376091332967421,0.1344851785715214,-0.0017170953479770615,0.0,0
96.0,8,3.079129696723476,0.564764040508668,0.1526402119531757,-0.0009513322015706112,0.0,0
96.0,9,3.106251404277704,0.5939667206777327,0.173245810839482,-0.0002647556512881109,0.0,0
96.0,10,3.105148265204569,0.6240088078104132,0.1954824167402362,0.0003103766006967865,0.0,1
96.0,11,3.08534205494698,0.6543660320119069,0.2188697327218521,0.0007719144270615486,0.0,1
96.0,12,3.0542556974244777,0.6849129728487056,0.2431676780218256,0.0011288502361414354,0.0,1
96.0,13,3.017021738645568,0.7156838053504764,0.2682439301984014,0.0013919162428993825,0.0,1
96.0,14,2.977105643961941,0.746765217530688,0.2940045952627441,0.0015707987810885172,0.0,1
96.0,15,2.9368658628402224,0.7782566955873078,0.3203646341360784,0.0016737162847425295,0.0,1
96.0,16,2.8979350790628526,0.8102575493065834,0.3472363698643621,0.0017076322198843683,0.0,1
96.0,17,2.861464884057294,0.8428638317362448,0.3745257538428859,0.001678565542818816,0.0,1
96.0,18,2.8282828028273315,0.8761687866014105,0.4021320041730467,0.001591858107281151,0.0,1
96.0,19,2.798995153444369,0.9102644737431947,0.4299487450742069,0.0014523758516819302,0.0,1
96.0,20,2.774056355602071,0.9452437160866966,0.457865797973457,0.0012646515029795479,0.0,1
96.0,21,2.7538171231902875,0.9812020583743508,0.4857711912778249,0.0010329821828695583,0.0,1
96.0,22,2.738559080141325,1.0182396189278564,0.513553133509847,0.0007614944636128982,0.0,1
96.0,23,2.728520417267978,1.0564627728287188,0.5411017829091483,0.00045418710210159497,0.0,1
96.0,24,2.723915431021109,1.0959856129392316,0.5683107061313902,0.00011495979234482831,0.0,1
96.0,25,2.724949675187028,1.1369311267174813,0.5950779714884715,-0.000252366426988987,0.0,0
96.0,26,2.731831743814541,1.1794320139934418,0.6213068734889708,-0.0006440314989476092,0.0,0
96.0,27,2.74478223457972,1.2236310583756065,0.6469063334221108,-0.00105632079639025,0.0,0
96.0,28,2.7640401284262643,1.2696809556776292,0.6717910615304721,-0.001485549203833712,0.0,0
96.0,29,2.789866615480831,1.3177435009905558,0.6958815963751199,-0.0019280464187399096,0.0,0
96.0,30,2.822546278652215,1.3679880488296836,0.7191043535376372,-0.002380145479112762,0.0,0
96.0,31,2.862385515562151,1.4205891977062317,0.7413918163141007,-0.0028381781242028926,0.0,0
96.0,32,2.909708151067691,1.47572372121227,0.7626829826580005,-0.0032984811025456454,0.0,0
96.0,33,2.9648483835742443,1.5335668772259945,0.7829241423072283,-0.003757417444972441,0.0,0
96.0,34,3.0281415197188606,1.5942883684369122,0.8020699944498721,-0.0042114159932127235,0.0,0
96.0,35,3.099913347580997,1.6580483761794294,0.8200850331780569,-0.004657029928958205,0.0,0
96.0,36,3.1804693898914445,1.7249942013978905,0.8369450377545088,-0.005091011869458866,0.0,0
96.0,37,3.270085532395668,1.795258068054652,0.8526384294665387,-0.005510399073409213,0.0,0
96.0,38,3.369001502247352,1.8689565352432629,0.8671672236308753,-0.005912598941298103,0.0,0
96.0,39,3.477418304798532,1.946191724408819,0.8805473352152741,-0.0062954631765816905,0.0,0
96.0,40,3.595500064218718,2.0270542507138805,0.892808091901344,-0.0066573398598758615,0.0,0
168.0,0,2.3,0.4506841587475154,0.0838642222014523,-0.0029736730980171443,0.0,0
168.0,1,2.4,0.4573664620023649,0.0873195875760366,-0.002782675384235686,0.0,0
168.0,2,2.478759484216772,0.4631904005224319,0.0903925540060058,-0.0026220459584426303,0.0,0
168.0,3,2.570437535776777,0.4707532177939157,0.094467797728289,-0.002421274215041355,0.0,0
168.0,4,2.67605291157263,0.4808406484677544,0.1000509974133077,-0.0021666654879400876,0.0,0
168.0,5,2.794639023965384,0.4947334096491115,0.1080121603129154,-0.0018393657051662213,0.0,0
168.0,6,2.9172127777964008,0.5140391216840735,0.1195848167034976,-0.001426332935121502,0.0,0
168.0,7,3.0157683552111982,0.5376091332967421,0.1344851785715214,-0.0009822215691911286,0.0,0
168.0,8,3.079129696723476,0.564764040508668,0.1526402119531757,-0.0005442093375211928,0.0,0
168.0,9,3.106251404277704,0.5939667206777327,0.173245810839482,-0.00015146036633093755,0.0,0
168.0,10,3.105148265204569,0.6240088078104132,0.1954824167402362,0.00017756691004322607,0.0,1
168.0,11,3.08534205494698,0.6543660320119069,0.2188697327218521,0.0004416310010510795,0.0,1
168.0,12,3.0542556974244777,0.6849129728487056,0.2431676780218256,0.0006458643035440619,0.0,1
168.0,13,3.017021738645568,0.7156838053504764,0.2682439301984014,0.0007963964378199552,0.0,1
168.0,14,2.977105643961941,0.746765217530688,0.2940045952627441,0.0008987612236365739,0.0,1
168.0,15,2.9368658628402224,0.7782566955873078,0.3203646341360784,0.0009576552922372176,0.0,1
168.0,16,2.8979350790628526,0.8102575493065834,0.3472363698643621,0.0009770597980934934,0.0,1
168.0,17,2.861464884057294,0.8428638317362448,0.3745257538428859,0.0009604179435359529,0.0,1
168.0,18,2.8282828028273315,0.8761687866014105,0.4021320041730467,0.0009107876948709806,0.0,1
168.0,19,2.798995153444369,0.9102644737431947,0.4299487450742069,0.0008309566997609309,0.0,1
