rho,SAM_uM,Putrescine_uM,Spermidine_uM,Spermine_uM,dcSAM_uM,Vmax_ODC,Vmax_SSAT,Vmax_SAMDC,Antz,spectral_abscissa_per_h,polyamine_pair_real_per_h,polyamine_pair_imag_per_h,antz_mode_real_per_h,theta_ODCsyn_SAM,theta_SAMDCsyn_SAM,residual_scaled_max
0.33,57.66946782765809,103.31583688380546,79.57738891396001,60.43063356281521,0.010902025313510144,76.02721483265715,42.002406743032566,22.17513375863781,0.583347260778849,-0.013939297255965693,-0.07570529260727582,0.06808893556089846,-0.0196897155109051,-0.3571850224056287,-0.35718502240562877,5.6559201766503975e-12
0.34,57.44405373024141,103.54463575940703,79.62416511974816,60.42759965219792,0.010901244018164967,76.1969258434458,42.01552943158382,22.22752651851953,0.583423183349633,-0.013896651273879844,-0.07578448352229183,0.0681011558130029,-0.019690705438458942,-0.3684677561940714,-0.3684677561940715,2.1851730943971323e-12
0.35000000000000003,57.21841845920592,103.7785035428085,79.67393645237539,60.426124679787456,0.010900932579789056,76.37044035944969,42.03001833964886,22.281342438225305,0.5835069781804217,-0.013854858390079461,-0.07586329232240815,0.0681126649555892,-0.019691710699823364,-0.37975102369135005,-0.37975102369135005,3.5510218635496464e-12
0.36,56.992550057622545,104.01751251552005,79.72672311409245,60.42621568472069,0.010901093203735493,76.54781283769918,42.04588163964393,22.33660137886699,0.583598682988533,-0.013813912183279932,-0.07594171466348376,0.06812345201291878,-0.019692731259130982,-0.3910323668800937,-0.3910323668800937,8.219818150234952e-12
0.37,56.76643650744306,104.26173637419747,79.78254549624347,60.4278797044186,0.010901728125209684,76.72909881650871,42.06312756019862,22.393323606457383,0.5836983348392809,-0.013773806405154977,-0.07601974614597153,0.06813350574647516,-0.019693767076268798,-0.40230931516859253,-0.40230931516859253,4.149569576838985e-12
0.38,56.540065722078424,104.51125027810549,79.84142418407477,60.431123774461746,0.01090283960968377,76.91435495175534,42.08176438756094,22.451529805085855,0.5838059701383078,-0.013734534982852951,-0.07609738231310813,0.06814281465363879,-0.01969481810693305,-0.41357938672004113,-0.41357938672004113,3.410605131648481e-12
0.39,56.313425538707385,104.7661308989246,79.90337996197702,60.435954928617804,0.010904429953357355,77.10363905494185,42.10180046717846,22.51124109072849,0.583921624624945,-0.013696092022520943,-0.0761746186488726,0.0681513669663515,-0.019695884302681245,-0.4248400898025876,-0.4248400898025876,4.644220788337048e-12
0.4,56.08650371029955,105.026456473029,79.96843381918805,60.44238019903129,0.010906501483667501,77.29701013314323,42.1232442054658,22.572479025728605,0.5840453333666531,-0.013658471812002849,-0.07625145057596261,0.06815915064996066,-0.01969696561098987,-0.43608892415845724,-0.4360889241584572,2.2899145923953413e-11
0.41000000000000003,55.85928789733977,105.29230685637961,80.03660695598002,60.45040661658284,0.010909056559850328,77.49452843094454,42.14610407176886,22.63526563398507,0.5841771307546023,-0.013621668823896869,-0.07632787345370659,0.06816615340218227,-0.01969806197531548,-0.4473233823903382,-0.4473233823903382,2.9558577807620168e-12
0.42,55.63176565923499,105.56376358217949,80.10792079036057,60.46004121142844,0.01091209757355734,77.69625547448312,42.17038860053671,22.699623416889608,0.5843170505004471,-0.013585677718522217,-0.07640388257570829,0.06817236265208218,-0.019699173335151927,-0.45854095136316925,-0.4585409513631693,1.3211320284077646e-11
