policy,rho,s,mu,b_met,SAM,met,tlogmu,alpha,residual,ds
constant-total,1.0,2.4263350543697424,1.5086073862977187,45.25822158893156,282.478446783527,27.869516450335915,0.16247862119089412,-0.01126727698492995,1.6684893466845097e-09,0.25
constant-total,1.0,2.676377235491486,1.5709791976101213,47.12937592830364,309.8212511512019,30.441388747639355,0.16155622153804905,-0.011257421601641117,1.9271908513474045e-09,0.25
constant-total,1.0,2.9264210317298596,1.6355617887554221,49.066853662662666,339.67016899634945,33.19665527729278,0.16066640148434055,-0.01124789613835418,2.1166570718378352e-09,0.25
constant-total,1.0,3.176466712253714,1.7024170066015991,51.07251019804797,372.18145089840823,36.142054039119394,0.15974664125376117,-0.011238678866551286,2.2021637846592057e-09,0.25
constant-total,1.0,3.4265144670469683,1.7715808400775732,53.1474252023272,407.5030361369801,39.28433196582651,0.15873938652555442,-0.011229764709291639,2.161037571113411e-09,0.25
constant-total,1.0,3.6765643773559744,1.8430619164601598,55.2918574938048,445.7701790568248,42.63019859065688,0.1575991239293952,-0.011221161189752043,1.9919426108572225e-09,0.25
constant-total,1.0,3.926616388635134,1.9168435364664844,57.505306093994534,487.1008423038358,46.186244799990405,0.15629823756477218,-0.01121288482493924,1.717651798571751e-09,0.25
constant-total,1.0,4.176670289831009,1.9928894077220558,59.78668223166167,531.5911735659156,49.95881554103541,0.1548308219676794,-0.011204957711223373,1.3795720121834165e-09,0.25
constant-total,1.0,4.42672570345294,2.071152702019173,62.134581060575194,579.3114529057603,53.953829083048205,0.15321378990172815,-0.011197404275599671,1.0264429306516831e-09,0.25
constant-total,1.0,4.676782090829371,2.151587485314489,64.54762455943468,630.3029225698642,58.17654400018701,0.15148497605759606,-0.011190248325318283,7.016716097041353e-10,0.25
constant-total,1.0,4.926838775778412,2.234161090875588,67.02483272626763,684.5758728411638,62.6312873265165,0.14969845429522813,-0.011183510593391805,4.3518966208466736e-10,0.25
constant-total,1.0,5.176894987325493,2.3188657725427837,69.5659731762835,742.1092495065373,67.32117019797101,0.1479178291554307,-0.011177206951827848,2.3993251829779183e-10,0.25
constant-total,1.0,5.426949918223081,2.4057280803556615,72.17184241066985,802.8518804996404,72.24782641259068,0.14620866431298293,-0.011171347358097843,1.134541349756546e-10,0.25
constant-total,1.0,5.677002791743277,2.494814837344521,74.84444512033564,866.7252188158593,77.41121091015155,0.1446313355528199,-0.01116593547513619,4.2730263771773025e-11,0.25
constant-total,1.0,5.92705292608293,2.586235249511481,77.58705748534443,933.6273070248507,82.80948779673652,0.14323540427836695,-0.01116096880144905,1.4373831672412609e-11,0.25
constant-total,1.0,6.177099785328937,2.680139371604855,80.40418114814565,1003.4375292670373,88.43902310479406,0.14205617493200312,-0.011156439118009648,9.273339790055445e-12,0.25
constant-total,1.0,6.427143008886379,2.7767137047348402,83.30141114204521,1076.021660698246,94.29448039661828,0.1411135780400975,-0.01115233308893979,1.701392320408023e-11,0.25
constant-total,1.0,6.677182416622986,2.876175009339567,86.285250280187,1151.2367587479116,100.36900251861641,0.14041306832462802,-0.011148632929118272,1.320045765833811e-11,0.25
constant-total,1.0,6.927217992650431,2.97876346004883,89.3629038014649,1228.9355457664738,106.65445369277951,0.13994794792136175,-0.011145317113788796,9.000594502112637e-12,0.25
constant-total,1.0,7.177249854610689,3.0847361043608448,92.54208313082535,1308.9700723214803,113.14169357743194,0.13970244254288264,-0.011142361140148794,7.908393241023837e-12,0.25
constant-total,1.0,7.427278216598324,3.1943613081607762,95.83083924482328,1391.1945867100924,119.82085767819825,0.13965493329609058,-0.011139738345623996,1.2000792669483516e-11,0.25
constant-total,1.0,7.67730335274541,3.3079145689964418,99.23743706989325,1475.4676425268913,126.68162426253092,0.13978090900815987,-0.011137420761339924,9.073840666016822e-12,0.25
constant-total,1.0,7.927325566106337,3.4256758170374386,102.77027451112316,1561.6535417786367,133.71345454278617,0.1400553866702289,-0.01113537995584518,8.130383226736786e-12,0.25
